"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Loc","stoCloc_at10","stoNloc_at10","stoCloc_at20","stoNloc_at20","stoCloc_at30","stoNloc_at30","stoCloc_at40","stoNloc_at40","stoCloc_at50","stoNloc_at50"
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,"Back",36308.9781081275,2522.1827274086,27058.4761036965,1581.55837987036,7962.89868914393,463.78571466435,2197.13218718631,163.966234904901,1754.80781082877,114.6973589286
4,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,"Front",25455.2682724262,2025.93403030611,3864.26421105296,246.726286379106,NA,NA,NA,NA,NA,NA
4,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,"Back",31304.0246115966,2324.06946374521,18486.1763857832,1284.11749647015,NA,NA,NA,NA,NA,NA
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,"Back",34839.9595027946,2460.68798158656,31606.9390691116,2019.88482752892,20748.6237022615,1381.61540686036,5977.92311236485,349.494507358034,NA,NA
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,"Front",32008.1424774887,2327.35996107674,41259.7936984599,2657.83570878952,28364.4941857306,1685.54755849418,11269.403416592,625.081905631152,12565.9057410014,805.92233115438
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,"Back",28055.2200345689,1796.95688116886,28073.951979316,1352.618512827,12315.8724189745,628.17767853497,20932.5977040717,1160.44167032057,13662.8565372686,646.084715722992
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,"Front",28440.6087790687,1926.50059897376,21193.5342940398,1118.29353206977,4710.8065149056,262.797187742463,NA,NA,NA,NA
12,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,"Front",36809.5684921535,3511.43979566111,29124.0593675026,2136.25524466717,28043.9635382366,1914.33568460985,26041.5601075839,1715.6254179869,11475.1972140377,883.727439286921
12,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,"Back",42100.1268202588,3261.58857813403,27784.8293254258,2000.58665853507,31450.6004571143,2159.10924967232,28493.6547943925,1892.83860952077,17680.5066546829,1429.99161346253
9,1249,0.13,1920,94,232300,1.5,5074,0.0985740118666667,47,50116,0.727272727,0,0.375,1993,21,"Back",33754.7136072679,2486.47593014447,25696.8446595936,1993.62869964867,15182.8667548159,972.525917838637,NA,NA,NA,NA
9,1249,0.13,1920,94,232300,1.5,5074,0.0985740118666667,47,50116,0.727272727,0,0.375,1993,21,"Front",32870.0075277453,2609.61263116495,21831.1413477952,1745.70346690254,23327.5271915968,1484.57869868086,17184.3767833638,1096.35209526638,10027.7980886127,514.495365956349
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,"Back",29063.0140186423,2690.85206836314,26038.5516456929,2069.08334700914,20174.6900126824,1470.04767642354,8125.65580666626,665.411914235066,NA,NA
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,"Front",32873.4080356378,2715.09762304392,25156.0034699822,1909.40724992257,21532.6166043526,1542.19095689592,12348.9074506441,931.02144496628,11380.6734601681,813.07916569935
10,898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,"Front",24262.3790190083,2002.5716053702,30338.1963692642,2441.6580908097,19121.7940555316,1283.45537770334,24167.4234726669,1318.62211813298,11021.9691468271,680.626193385984
10,898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,"Back",23380.8078701352,1847.06679738043,25316.2790639282,2000.22131785819,21937.8883925413,1535.51359670248,23470.9539410505,1036.06144553376,NA,NA
20,2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,"Front",46968.148258504,2989.67970292009,32007.5591775539,1625.63512217865,4092.2810528788,231.2036425112,41635.4303672873,2217.95117777766,9953.05938010603,666.55682108603
20,2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,"Back",37849.8193489261,2307.89043649057,42694.7546252409,2202.35081281494,54835.9923598114,2544.11431605845,55388.5263582934,2405.77599155946,22969.5712565499,1391.67596174484
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,"Back",30688.905620615,2223.27222127141,13624.9013852592,945.19743413724,11620.9677809023,702.019659140458,NA,NA,NA,NA
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,"Front",30174.455313593,2250.18222785212,31495.8236135908,1703.34203772704,55186.6335265272,2699.48173723898,NA,NA,NA,NA
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,"Front",29573.4951983389,2432.01544685363,20822.6615152907,1908.73243421018,5765.22168877649,435.322426169938,NA,NA,NA,NA
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,"Back",28593.4481432017,2677.22466309466,18933.2364133113,2028.8596399167,6398.07090318645,548.268799411462,9411.59610101115,834.240150855554,NA,NA
31,3683,0.13,1936,78,203400,1.75,310.853438,0.128349759031399,42,55781,1,0,0.722222222,2002,12,"Front",27227.3098394062,1967.29896161771,14283.2361911918,861.364839957346,9594.65569950724,657.360333800758,NA,NA,NA,NA
31,3683,0.13,1936,78,203400,1.75,310.853438,0.128349759031399,42,55781,1,0,0.722222222,2002,12,"Back",26027.4806419066,1787.57843996995,19519.870960268,1259.32408375147,30138.4684937248,1698.449373104,37868.6125192945,1816.89384377304,33613.8150293341,1775.46734795318
26,174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,"Front",18563.8212202549,1323.51260885744,13442.8140614719,795.218004395815,NA,NA,NA,NA,NA,NA
26,174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,"Back",16401.4755083108,1176.2643980079,8313.17835343332,518.740528888458,NA,NA,NA,NA,NA,NA
